Reference,Qty,Value
BatteryPort1,1,Conn_01x02
"C1,C2,C3,C4,C5,C12,C19",7,100n
"C6,C15,C20",3,10u
"C7,C9",2,1u
C8,1,10n
"C10,C11",2,10p
"C13,C14",2,22u
C16,1,2.2u
"C17,C18",2,22uF
"D1,D4",2,GREEN
D2,1,SS34
D3,1,BLUE
"DOWN1,RIGHT1,SELECT1,UP1",4,SW_Push
FB1,1,220
L1,1,22uH
MicroSD_Card1,1,Micro_SD_Card
Q1,1,8205A_C5148694
"R1,R2",2,5.1k
"R3,R10,R11,R14",4,1k
"R4,R5,R6,R18",4,10k
R7,1,43k
R8,1,390k
R9,1,51K
R12,1,470
R13,1,2k
"R15,R16",2,470k
R17,1,150
"R19,R20",2,47k
SW1,1,SW_Push
SWD1,1,Conn_01x04_Pin
TFT1,1,Conn_01x08_Pin
"TP1,TP2",2,TestPoint
U1,1,STM32F401CCUx
U2,1,AMS1117-3.3
U3,1,MT3608
U4,1,TP4056-42-ESOP8
U5,1,DW01A
U6,1,TPS2116DRL
USB_C1,1,USB_C_Receptacle_USB2.0_16P
Y1,1,25 Mhz
